20
Node1,Node2,Weight
20,14,2.461181009522338
2,1,32.10198445030325
2,13,57.00078786132597
16,15,88.07050439455995
5,8,98.25092840466336
20,10,16.069846334436
14,3,22.152272734560476
11,13,98.3479096961627
5,9,75.73752960211121
17,9,64.23691856728118
10,18,33.87508782475986
18,7,78.70103483055654
12,17,66.53938590425443
13,20,42.472759233194296
5,6,78.42442853085085
6,14,88.78870664159072
9,1,92.8624269143486
18,19,66.42491265285567
14,13,72.68602640604128
4,10,5.6013372257790675
5,4,63.71227274634327
16,10,43.01119177184281
20,5,42.98376082765231
16,15,78.17990511204017
10,18,88.7606964221095
2,10,35.95967460264725
18,4,57.96146762225367
2,5,87.70606890505223
18,10,97.36990748840388
18,11,10.06353638174582
3,10,58.376171724854686
13,7,19.73738731654496
19,14,7.27140626363787
19,3,79.09615614164188
14,8,84.63438864423348
16,18,34.24405677115109
9,18,50.13862355346775
16,20,54.60637799670179
15,6,58.329289628215406
17,15,21.3164900505364
4,13,60.833557168783415
8,3,10.907801723230257
9,5,32.020245025176365
10,17,33.070360069004494
6,5,91.61957907463467
3,6,31.873180813155557
1,2,69.63310564253055
2,4,33.57591446271177
14,5,46.47069788999791
8,9,28.572998156381104
4,9,45.79158400034123
11,17,34.43657274604152
8,11,76.70736175976589
11,14,76.5667717497858
9,8,18.31490226743559
15,6,24.817389415374503
5,15,47.704100404275295
13,15,70.98371413967146
13,12,18.205287372444957
20,17,92.70944358938087
9,7,64.88498768355944
2,12,93.17734053478607
19,3,36.24908137476043
12,8,84.6822035840519
13,18,3.097289749111395
2,20,81.04747585837448
15,17,23.55582836795352
3,13,80.91502032059778
1,19,41.32430193310761
2,18,16.512632102776372
16,5,67.66754175224021
13,15,99.09679914549369
15,13,51.63268065896723
11,12,57.00660907316992
13,10,76.94213760638475
16,11,17.359596878674466
17,19,90.18149184771306
10,15,85.26470848352328
15,10,40.511443051139295
4,8,65.62718093502716
14,8,83.10074673695179
11,10,54.170526235901356
12,15,54.217136468091354
8,20,27.929396674639115
13,4,52.566375653426974
19,11,79.90072066891544
5,16,22.326205386771054
18,4,17.481945498689697
4,16,3.3697078172420394
6,19,61.20755350489136
5,16,25.040747189585705
6,19,45.66249962426276
14,10,49.176330614215125
17,13,42.48853375066966
10,3,43.53058109316232
17,5,58.72256928548805
10,11,49.44675684201164
13,1,9.58807181243537
3,11,79.60183420802822
11,15,84.69475472068166
18,14,30.38495887373016
17,19,33.9509716248089
15,13,29.348722273109004
5,20,78.79045852606389
5,19,56.38202819317035
14,8,78.86351792880946
14,2,33.79064699569083
7,4,32.44710863909191
13,16,64.01446701499324
18,9,22.03400468325607
18,19,36.163343896104536
9,6,26.186441110705005
1,19,77.13850777584443
11,2,9.963557024806828
6,5,64.87818004707874
18,15,26.391742315634783
9,8,81.71714576174443
16,11,61.13672386166949
1,8,58.00441247712437
19,13,23.460724612016108
16,19,18.52297140849328
3,9,14.866389321290814
4,20,81.7535006254808
6,15,41.83056465629482
2,20,46.40177662233831
6,11,93.73042933283467
12,20,90.79785039392593
16,17,71.25725794103208
6,7,90.31588235302308
4,1,4.575843350713811
11,3,97.13601263734554
13,18,38.05781694349424
3,14,40.619602663652515
7,9,74.15671055225916
15,12,61.234002865490005
14,2,54.579686831994955
18,13,29.709983178170145
18,13,14.293045943770402
5,17,40.88244959828687
9,13,35.13963249674936
6,1,54.388313010227165
4,10,63.550391653599824
17,1,58.18781826231332
2,7,61.18600874339558
9,12,27.100650674863413
14,4,2.9375079194026568
6,14,22.321876471012
18,1,75.87100524379949
15,2,22.995373548046178
4,20,63.08028809771167
9,4,94.8626034797602
6,9,56.51072285181401
1,13,87.22386709938726
14,6,62.9020194836749
10,8,82.58518891685421
15,5,66.7522992938128
6,18,23.623172173060603
20,19,10.690645426115529
13,1,99.12264605292664
7,9,41.221878115716045
14,1,74.82616173691213
12,2,53.226735606097535
6,14,59.35559458668983
14,5,66.00117288988916
14,9,18.396318735923078
19,2,17.863242041382588
6,5,81.67613887751418
14,16,41.63760818493443
9,13,32.16559644889804
17,12,81.16832616264259
6,5,7.4996173311721215
9,11,29.57099879906576
5,10,4.208154072638438
7,1,59.60668241058294
5,1,65.20104185124622
14,15,62.7555173707777
8,11,91.25694376290973
3,5,60.9236002511794
18,5,47.72532352329502
1,12,17.89982825425242
15,3,16.33010423358719
10,5,91.59928131153303
4,6,43.10684360697728
1,11,54.796777947696675
16,3,49.6873745472014
12,14,37.599229183100405
4,8,30.45979768338984
13,12,87.47974442679238
5,7,33.53711834896599
5,14,67.54327162101394
11,12,38.934030812057934
18,15,7.626284538622513
4,7,76.03880095071251
14,19,54.51213249314314
16,7,7.4263839744788545
19,11,70.25437677739767
4,19,59.01928314268481
8,20,31.70898334576645
18,13,29.34688487053031
5,20,26.825061720347044
16,12,82.15725102191941
11,17,72.77341419649977
6,19,28.300020411469518
4,18,86.08856319241906
3,15,18.52004425764593
6,3,61.69421830524078
9,2,27.608635723528486
3,4,2.6237617981459804
20,14,90.39373965600566
18,12,82.40616081135884
2,14,64.01294094858031
6,8,17.703777991133297
3,9,30.246273698638042
9,18,57.263403654100266
9,6,94.03513395565557
5,4,88.61530458961325
8,9,82.12655918859588
17,4,66.99427712032791
9,7,99.07148139678688
15,17,23.236982656621322
3,11,84.6155637556392
13,4,27.531100817979045
13,12,90.38524789704567
16,8,26.31942610495265
17,1,73.67479879705736
8,7,55.50435945727079
9,3,16.049571725008676
12,1,80.43889782332549
17,5,38.626989218441516
3,20,76.2408730526601
4,7,75.76181409648936
4,5,84.57570614804258
1,13,68.24085218880921
17,13,70.15399539677752
14,20,19.70505948882888
18,3,17.77875909236617
7,10,55.05139819960572
14,18,6.168884368805909
16,14,6.033089873423532
19,7,72.86700635347216
5,3,80.58680408299884
13,14,39.267085685714605
16,3,12.548966665741922
19,18,38.38505327528853
7,4,94.14636736290451
13,2,17.04532771636666
16,10,99.85471115966968
13,20,27.33058929853511
11,1,96.8966341908371
15,10,45.02709683818451
10,20,55.17075133595834
12,1,6.692805533394127
1,11,37.90554804828345
13,8,37.06192719367124
16,9,91.44855961365711
11,12,72.79587360520968
8,5,99.86406798800775
17,15,46.85481039388673
1,14,10.833876745424586
9,19,66.55652448900523
20,17,39.55659245076922
11,18,56.347691127215974
15,17,23.11314160694896
7,12,96.47649408846036
20,8,19.384863467024644
9,5,61.376338295667054
13,14,62.60518369772485
12,1,68.27891509742022
20,15,38.10323645059524
18,16,21.73259859688317
18,17,87.55952027200442
13,1,84.10342809704532
20,14,39.326944352705304
