20
Node1,Node2,Weight
16,19,94.84175022949836
20,8,16.844545996907
14,19,7.12150640467783
2,10,98.8178119109444
16,7,23.287548924301532
2,11,80.95822784922444
13,15,99.32538319410509
5,13,6.221460686712595
20,18,3.4482337673564194
17,1,58.090314720014945
2,7,34.34040618471978
16,7,16.4036928058353
16,4,17.057910586121068
20,13,86.47879653492004
3,5,47.53930179602507
4,17,7.238602489681207
20,2,81.1883181524485
19,17,3.232406348154155
14,2,82.24792366773777
9,12,9.939701745560363
6,11,39.25159133090731
8,10,43.10261770035806
12,15,61.04413643457335
13,3,30.689375340668914
13,12,37.076141158318094
19,14,17.67861897094717
10,5,11.241656697216252
8,13,75.67535704974644
13,4,82.92057174506677
14,4,60.44582477541368
8,14,15.909757960838023
8,19,14.579883053248627
8,11,44.924203481217354
6,17,90.51024244250267
9,10,3.87394632775374
11,17,92.09885394198314
15,18,58.95434085605959
15,10,68.850440051089
17,7,71.56115150355936
1,3,72.32994324852491
13,14,88.46695389710396
18,5,3.2463742087667296
16,4,51.375063187129065
8,5,1.7872606974946565
9,17,95.27818821880575
19,10,11.756187507358499
8,16,64.1821207402208
3,15,71.06435312071604
9,14,91.8826526689618
5,19,82.18501268977116
7,13,87.8720009925428
3,15,6.54658651840392
6,20,30.548264835891114
17,16,63.35097881306737
9,1,10.245126877568437
15,4,24.026548473885935
8,2,74.21396420497544
8,15,53.01272493374867
11,12,74.52394419636607
5,6,80.34549261959012
16,6,14.102081827360264
4,14,82.3239877702139
7,1,10.749210749973136
12,19,32.95109628491274
12,18,40.04930103147851
12,18,60.4421541980692
12,13,87.46960700974887
8,2,82.2201302907119
4,18,8.78524090014223
8,1,15.361403026373832
20,9,60.856236588831955
4,7,26.746337663457986
13,5,24.694981075858514
20,2,19.497337960330714
16,11,64.91114732604393
3,1,37.18422823464895
19,8,90.37062779622326
10,8,49.784310217596285
2,14,37.15371667576517
7,3,29.20572500307583
12,7,48.54921233129936
13,14,72.20075690009239
6,5,2.063484197134352
20,19,6.032666231014385
3,15,82.3384557773101
17,6,44.586741438992576
13,19,86.55277661389158
5,2,69.56716462996913
8,7,67.8499207954564
16,4,11.568655511877
13,11,10.04149351078491
4,6,94.59225060817802
19,6,44.9153342061376
16,19,45.00073015989289
14,17,64.66944965907945
4,17,38.28675386062126
10,13,84.16760974090445
1,2,22.23264215416418
14,8,33.68604547338025
19,9,10.358767310547554
20,5,51.71865967029093
16,13,86.3752670742536
20,6,93.95051301944618
20,12,58.95548739620546
15,6,23.45110270776092
11,16,13.9008747791575
18,9,85.21636193526837
7,6,32.37890963905357
10,3,99.3424841797323
6,1,1.4382068917151336
17,8,88.81564840650756
3,13,7.120299729330837
9,14,86.27508560089338
18,4,28.154543138734045
15,8,16.87591780679096
13,3,39.082401139918574
15,18,15.615753526827962
20,14,64.02265697339088
2,9,77.8897164146883
16,9,16.30612014359602
17,13,95.62435935917446
5,2,28.944175265689438
17,16,22.873541386761392
12,19,75.51690799148957
14,9,70.60964972270351
15,7,80.69672629909377
16,20,49.00287367570073
5,7,89.91591315286554
18,14,11.62642649107742
7,14,62.82857416328973
4,2,9.439777695176293
18,12,93.70202155415306
11,10,35.99422798894671
16,3,13.400631406739912
8,1,76.81701277283621
2,12,74.88596921622849
5,6,26.986358968410265
18,2,4.71095467357004
7,9,88.82324011026915
10,13,36.63901447226536
4,12,3.779546223542809
14,8,19.346242848729567
16,10,29.57768103382985
10,1,66.83889043324464
15,13,63.24362889830704
6,11,71.07226980222183
10,3,99.01311486324309
20,14,92.05853220906073
3,1,25.194498554220452
10,14,9.029114503177693
20,10,81.60450430003661
11,9,3.200710872405104
18,13,17.371200334652126
9,12,16.412533023550434
15,13,54.81741783375526
6,12,41.91351707704832
20,14,55.94153827297353
19,13,50.41904746500197
12,1,20.599483714120858
4,19,53.534535922626844
14,15,84.15095772579687
13,5,19.717545513733096
11,5,16.649926922746925
17,9,81.47461027288738
14,5,48.88630787021488
13,20,3.5528471121711047
19,9,96.2101992164713
3,19,15.348216904840758
17,11,33.994312090581346
16,15,37.156676713361634
20,9,2.284732198319819
7,8,40.15073685758233
10,7,55.69677187797951
14,9,94.23237474754782
20,14,54.59579349033792
1,14,95.07605894186604
6,4,23.465924037479713
2,8,58.4986261177388
12,10,5.434485612121607
7,9,88.6040605035402
10,15,14.286159100555068
14,9,80.95261263847709
7,9,5.585907930127178
6,13,13.985166965252699
1,11,90.20874931964903
10,8,94.43612097672904
9,1,80.70001542704259
7,4,97.39124790376509
14,13,77.06038787750771
2,5,2.647452754755805
18,16,10.237067351894904
20,10,68.56649635514235
7,17,1.8331650435725582
3,9,37.16790560108027
16,14,29.535500043741166
14,19,39.3381217312225
16,10,46.648677118899386
9,20,40.432639956074915
8,20,83.38213397471807
20,17,94.05877940072943
17,1,46.704227405821584
3,19,2.473732525423021
1,15,73.1490656131949
11,15,68.63765601096107
16,19,38.86832206227603
10,18,61.08742063261985
1,14,83.51837464161494
16,4,40.65475289658706
13,6,1.8571860952429464
11,2,82.67786109313484
4,18,41.65645432309547
19,2,26.245257259253854
13,9,48.169301816033226
20,7,21.009734553854774
1,19,8.824381634691695
16,10,82.9738217371695
5,19,94.67849709417351
13,18,51.77762064790149
9,16,15.149813638483096
13,3,17.813754903455646
15,7,92.24125991184057
10,8,20.381749520909754
18,8,81.31300706457122
17,4,7.888276501557461
11,13,52.84730763095385
14,12,71.95737787049464
11,16,12.330429426297634
7,16,51.6925337632582
20,1,48.16744782674603
20,10,53.00019912726127
17,16,73.12773295846824
10,7,71.85068504142458
3,4,68.23101551445939
8,1,45.669556559938584
16,5,53.54049677590201
15,12,23.357409602356153
1,2,3.2563649761603273
7,8,56.19286966064281
13,11,3.7105006892247765
13,2,82.45429652428238
9,11,28.443749892178996
8,20,44.40810171697051
18,2,7.5716341801442475
